countries,Length of Lockdown,Population Density,GDP Per Capita,HDI,Tests/1 million,Democracy Index,Cases Per /1M,Deaths/M,Continent,Population,Mask Mandate implementation
Hong Kong,0,6781.83,49180.0943,0.939,819094,60.2,1318,22,Asia,7531091,0
Hungary,13,104.96,16879.13899,0.845,312900,66.3,37005,1224,Europe,9646506,0
Iceland,0,3.56,71344.61367,0.938,1359384,95.8,17463,85,Europe,342486,0
India,74,411.48,2116.177386,0.647,137033,69,7668,110,Asia,1387604808,0
Indonesia,0,140.75,4135.569274,0.707,31395,64.8,3508,100,Asia,275143086,34
Iran,37,51.00,7282.005946,0.797,102070,23.8,16087,676,Asia,84594020,0
Iraq,20,89.68,5729.677358,0.689,130268,37.4,15030,319,Asia,40723804,55
Ireland,146,70.03,81636.57855,0.942,583848,92.4,37088,578,Europe,4968657,0
Israel,44,422.00,46376.46651,0.906,1079110,78.6,64042,464,Asia,9197590,41
Italy,83,199.97,33089.57331,0.883,503735,75.2,40420,1402,Europe,60411677,95
Ivory Coast,0,79.97,2276.340329,0.516,11655,40.5,984,5,Africa,26740475,111
Jamaica,0,248.08,5369.49399,0.726,52677,69.6,4938,112,North America,2968432,0
Japan,0,333.38,40063.48535,0.915,49391,79.9,2780,38,Asia,126257867,0
Jordan,48,122.00,4405.480596,0.723,358516,39.3,31083,410,Asia,10259872,0
Kazakhstan,0,6.69,9792.625928,0.817,314382,29.4,9197,127,Asia,18902348,78
Kenya,0,81.75,1816.523795,0.579,21092,51.8,1833,32,Africa,54429336,22
Kuwait,21,248.07,31999.27189,0.808,335940,39.3,37244,221,Asia,4305835,78
Kyrgyzstan,0,31.56,1317.770772,0.674,97148,48.9,12713,212,Asia,6584226,0
Laos,0,27.42,2625.387111,0.604,13541,21.4,6,0,Asia,7334520,0
Latvia,0,29.59,17885.42744,0.854,582199,74.9,31790,574,Europe,1874372,66
Lebanon,27,672.06,7784.316857,0.73,362276,43.6,40020,324,Asia,6808175,65
Liberia,0,46.12,522.9991678,0.465,12136,54.5,373,16,Africa,5123656,0
Libya,305,3.66,4810.082385,0.708,89000,20.2,16255,251,Africa,6923505,0
Liechtenstein,0,239.88,178799.45,0.917,613538,0,63682,1362,Europe,38190,0
Lithuania,115,42.78,19795.21575,0.869,685151,75,64742,959,Europe,2700715,42
Luxembourg,0,237.39,115480.8676,0.909,2895195,88.1,78267,890,Europe,631659,49
Macao,0,21158.05,84096.70545,0.914,6645,0,72,0,Asia,654281,0
Madagascar,0,43.75,522.9895109,0.521,3751,56.4,652,10,Africa,28085489,0
Malawi,0,148.24,434.772494,0.485,6268,55,895,23,Africa,19403845,0
Malaysia,83,99.00,11414.29365,0.804,132148,71.6,5405,20,Asia,32597848,188
Maldives,0,1257.63,10626.48444,0.719,695451,0,27169,92,Asia,545850,0
Mali,0,15.30,886.7942713,0.427,6716,49.2,386,16,Africa,20573330,0
Malta,0,1633.54,33752.37052,0.885,1320345,79.5,37139,561,Europe,442205,0
Mauritania,0,3.87,1677.917728,0.527,29391,39.2,3460,88,Africa,4717354,0
Mauritius,0,620.38,11168.6188,0.796,227464,82.2,437,8,Africa,1272956,0
Mexico,70,64.35,9848.604353,0.767,33150,60.9,13195,1127,North America,129691263,81
Moldova,0,79.24,2956.883244,0.711,150650,57.5,38549,827,Europe,4028672,0
Monaco,0,18960.40,190532.47,0,1318671,0,33276,228,Europe,39398,0
Mongolia,21,2.07,4295.235029,0.735,278941,65,481,0.6,Asia,3307741,0
Montenegro,0,45.05,8825.344514,0.816,343514,56.5,91516,1218,Europe,628111,0
Morocco,83,81.00,3282.007597,0.676,141623,51,12511,218,Africa,37155316,35
Mozambique,0,35.74,503.745209,0.446,10056,36.5,972,9,Africa,31739867,0
Myanmar,0,80.32,1420.740813,0.584,40829,35.5,2501,55,Asia,54614537,50
Namibia,38,2.93,4957.358577,0.645,97664,64.3,12409,121,Africa,2566540,0
Nepal,120,200.72,1073.621801,0.579,69160,52.8,9139,67,Asia,29428780,0
Netherlands,56,423.00,53052.81431,0.933,406290,90.1,54711,782,Europe,17156211,94
New Zealand,49,19.00,43229.34348,0.921,296014,92.6,455,5,Oceania,5002100,0
Nicaragua,0,52.66,1912.899162,0.651,NA,35.5,930,25,North America,6668646,0
Niger,0,18.81,554.5799425,0.377,2858,32.9,174,6,Africa,24688508,0
Nigeria,0,217.55,2361.206967,0.534,5863,41.2,565,7,Africa,208972594,60
North Macedonia,0,80.78,6093.14769,0.76,210779,59.7,43260,1329,Europe,2083326,0
Norway,0,16.58,74985.51526,0.954,598653,98.7,11123,100,Europe,5445018,0
Oman,0,15.01,15343.062,0.834,170575,30.6,25583,293,Asia,5178607,68
Pakistan,46,277.00,1186.69208,0.56,33868,42.5,2369,50,Asia,223279623,94
Palestine,0,826.69,3424.465313,0.69,189304,38.9,29911,342,Asia,5167242,0
Panama,67,56.07,15727.97039,0.795,365336,70.5,70714,1144,North America,4352667,28
Papua New Guinea,14,19.30,2845.190636,0.543,4501,60.3,92,1,Oceania,9041386,0
Paraguay,44,17.10,5406.483416,0.724,86945,62.4,17597,360,South America,7181539,42
Peru,106,25.02,6977.76782,0.759,181412,66,32746,1187,South America,33228456,31
Philippines,0,366.00,3323.767006,0.712,67828,66.4,4619,92,Asia,110396247,63
Poland,49,122.76,15727.03061,0.872,217829,66.2,38721,923,Europe,37823235,43
Portugal,45,111.59,23350.35385,0.85,660331,80.3,59837,974,Europe,10179925,62
Qatar,0,236.84,64781.7332,0.848,478834,31.9,52896,88,Asia,2807805,52
Romania,48,81.40,12914.1074,0.816,274899,64.9,36863,920,Europe,19165090,78
Russia,33,8.58,11605.56639,0.824,674797,31.1,25193,469,Europe,145969720,0
Rwanda,29,469.83,820.0912107,0.536,62284,31.6,948,13,Africa,13130248,0
S. Korea,0,516.72,32143.08501,0.906,102979,80,1448,26,Asia,51294039,0
Saint Kitts and Nevis,0,208.69,19896.4957,0.777,121138,0,655,0,North America,53410,0
Saint Lucia,0,292.47,11611.42213,0.745,123673,0,4101,54,North America,184099,0
San Marino,52,567.89,47313.35245,0,941215,0,84219,1913,Europe,33971,0
Saudi Arabia,0,15.92,23139.80211,0.857,339565,19.3,10422,181,Asia,35116437,88
Senegal,0,82.40,1452.134664,0.514,18164,58.1,1425,33,Africa,16988317,0
Serbia,50,89.08,7359.348533,0.799,289936,64.1,43683,442,Europe,8717490,54
Seychelles,0,212.66,17381.65108,0.801,52691,0,9849,30,Africa,98689,0
Sierra Leone,0,110.14,527.5336318,0.438,NA,48.6,383,10,Africa,8067214,0
Singapore,55,7894.26,64102.73761,0.935,1031483,60.2,10083,5,Asia,5876149,82
Slovakia,0,111.15,19255.89567,0.857,303675,71.7,42670,713,Europe,5461132,18
Slovenia,0,10281.00,26062.16682,0.902,370051,75,74913,1592,Europe,2079099,24
Somalia,0,23.81,105.3106824,0,NA,0,294,8,Africa,16138541,0
South Africa,35,48.14,6001.389576,0.705,131982,72.4,23316,671,Africa,59726820,56
Spain,56,92.76,29815.71781,0.893,645039,82.9,55671,1186,Europe,46764982,91
Sri Lanka,95,332.31,3939.684198,0.78,72570,62.7,2649,13,Europe,21463723,74
St. Vincent Grenadines,0,284.11,7463.537831,0.728,223740,0,6208,18,North America,111138,0
Sudan,0,22.17,815.0601008,0.507,NA,27,592,36,Africa,44417532,0
Suriname,0,3.47,6359.634834,0.724,57802,69.8,13476,251,South America,589578,0
Sweden,0,22.97,52895.9567,0.937,485106,93.9,53990,1086,Europe,10134622,0
Switzerland,41,207.98,85134.95483,0.946,475909,90.3,58604,1040,Europe,8690134,246
Syria,0,92.18,1193.853039,0.549,NA,14.3,760,49,Asia,17736473,0
Taiwan,0,652.11,26910,0.911,5974,77.3,37,0.3,Asia,23841044,0
Tanzania,0,59.14,1084.373491,0.528,NA,51.6,8,0.3,Africa,60675156,0
Thailand,67,130.00,7784.73908,0.765,17423,63.2,187,1,Asia,69898541,64
Timor-Leste,0,78.24,1560.50984,0.626,13593,71.9,40,0,Asia,1332425,0
Togo,0,133.18,899.4907444,0.513,23633,33,542,9,Africa,8386415,0
Trinidad and Tobago,14,264.59,16637.25981,0.799,57181,71.6,5318,95,North America,1402037,0
Tunisia,28,71.65,3317.515276,0.739,67495,67.2,16258,512,Africa,11887867,35
Turkey,4,106.12,9126.562459,0.806,332314,40.9,28504,292,Asia,84847147,22
UAE,22,116.87,43103.32306,0.866,2430769,27.6,27197,78,Asia,9957245,90
Uganda,0,165.62,736.6030867,0.528,17423,50.2,837,7,Africa,46538089,0
UK,172,279.95,41854.50307,0.92,987438,85.2,52638,1410,Europe,68086356,135
Ukraine,38,69.49,3495.531163,0.75,138988,59,27142,497,Europe,43585176,35
Uruguay,0,18.87,16190.13844,0.808,226594,83.8,10392,105,South America,3480501,38
USA,0,24.00,65133.73165,0.92,889931,79.6,76462,1277,North America,332092704,0
Uzbekistan,0,72.99,1756.163496,0.71,40839,20.1,2320,18,Asia,33740093,6
Venezuela,57,35.16,4732.820093,0.726,89208,28.8,4325,40,South America,28390458,0
Vietnam,21,290.48,2715.275874,0.693,14634,30.8,16,0.4,Asia,97829462,52
Zambia,0,21.80,1292.482076,0.591,43710,50.9,2321,33,Africa,18668783,0
Zimbabwe,33,38.80,1463.985913,0.563,17816,31.6,2037,64,Africa,14983750,41
